,tid,title,series_id,season,episode,price
0,2820,Occupation / Precipice,227,3,19,1.99
1,2821,"Exodus, Pt. 1",227,3,19,1.99
2,2822,"Exodus, Pt. 2",227,3,19,1.99
3,2823,Collaborators,227,3,19,1.99
4,2824,Torn,227,3,19,1.99
5,2836,"Crossroads, Pt. 1",227,3,20,1.99
6,2837,"Crossroads, Pt. 2",227,3,20,1.99
7,2838,Genesis,228,3,19,1.99
8,2839,Don't Look Back,228,3,21,1.99
9,2840,One Giant Leap,228,3,21,1.99
10,2841,Collision,228,3,21,1.99
11,2842,Hiros,228,3,21,1.99
12,2843,Better Halves,228,3,21,1.99
13,2844,Nothing to Hide,228,3,19,1.99
14,2845,Seven Minutes to Midnight,228,3,21,1.99
15,2846,Homecoming,228,3,21,1.99
16,2847,Six Months Ago,228,3,19,1.99
17,2848,Fallout,228,3,21,1.99
18,2849,The Fix,228,3,21,1.99
19,2850,Distractions,228,3,21,1.99
20,2851,Run!,228,3,21,1.99
21,2852,Unexpected,228,3,21,1.99
22,2853,Company Man,229,3,19,1.99
23,2854,Company Man,230,3,19,1.99
24,2855,Parasite,231,3,19,1.99
25,2856,A Tale of Two Cities,231,3,19,1.99
26,2857,"Lost (Pilot, Part 1) [Premiere]",230,3,21,1.99
27,2858,"Man of Science, Man of Faith (Premiere)",229,3,21,1.99
28,2859,Adrift,230,3,21,1.99
29,2860,"Lost (Pilot, Part 2)",231,3,19,1.99
30,2861,The Glass Ballerina,230,3,21,1.99
31,2862,Further Instructions,229,3,19,1.99
32,2863,Orientation,231,3,21,1.99
33,2864,Tabula Rasa,230,3,19,1.99
34,2865,Every Man for Himself,231,3,21,1.99
35,2866,Everybody Hates Hugo,229,3,19,1.99
36,2867,Walkabout,230,3,19,1.99
37,2868,...And Found,231,3,19,1.99
38,2869,The Cost of Living,230,3,19,1.99
39,2870,White Rabbit,229,3,21,1.99
40,2871,Abandoned,229,3,19,1.99
41,2872,House of the Rising Sun,230,3,21,1.99
42,2873,I Do,231,3,21,1.99
43,2874,Not In Portland,230,3,21,1.99
44,2875,Not In Portland,229,3,19,1.99
45,2876,The Moth,229,3,21,1.99
46,2877,The Other 48 Days,230,3,19,1.99
47,2878,Collision,231,3,19,1.99
48,2879,Confidence Man,230,3,19,1.99
49,2880,Flashes Before Your Eyes,229,3,21,1.99
50,2881,Lost Survival Guide,230,3,21,1.99
51,2882,Solitary,229,3,19,1.99
52,2883,What Kate Did,231,3,21,1.99
53,2884,Raised By Another,230,3,19,1.99
54,2885,Stranger In a Strange Land,229,3,21,1.99
